,name,att_wins,att_draws,att_losses,def_wins,def_draws,def_losses
26,sandshrew,44,55,52,31,65,55
27,sandslash,44,55,52,31,65,55
102,exeggutor,48,37,66,61,36,54
101,exeggcute,48,37,66,61,36,54
45,paras,53,17,81,64,36,51
46,parasect,53,17,81,64,36,51
12,weedle,21,53,77,48,54,49
36,vulpix,44,62,45,33,69,49
37,ninetales,44,62,45,33,69,49
47,venonat,21,53,77,48,54,49
48,venomoth,21,53,77,48,54,49
14,beedrill,21,53,77,48,54,49
13,kakuna,21,53,77,48,54,49
113,tangela,40,45,66,46,56,49
73,geodude,47,69,35,67,36,48
74,graveler,47,69,35,67,36,48
94,onix,47,69,35,67,36,48
110,rhyhorn,47,69,35,67,36,48
111,rhydon,47,69,35,67,36,48
75,golem,47,69,35,67,36,48
70,victreebel,34,48,69,58,47,46
69,weepinbell,34,48,69,58,47,46
68,bellsprout,34,48,69,58,47,46
1,ivysaur,34,48,69,58,47,46
44,vileplume,34,48,69,58,47,46
43,gloom,34,48,69,58,47,46
42,oddish,34,48,69,58,47,46
0,bulbasaur,34,48,69,58,47,46
2,venusaur,34,48,69,58,47,46
30,nidoqueen,21,83,47,54,53,44
33,nidoking,21,83,47,54,53,44
104,marowak,42,62,47,57,51,43
122,scyther,32,52,67,44,64,43
11,butterfree,32,52,67,44,64,43
123,jynx,65,33,53,20,88,43
61,poliwrath,41,32,78,59,50,42
76,ponyta,30,71,50,40,70,41
57,growlithe,30,71,50,40,70,41
3,charmander,30,71,50,40,70,41
77,rapidash,30,71,50,40,70,41
58,arcanine,30,71,50,40,70,41
4,charmeleon,30,71,50,40,70,41
135,flareon,30,71,50,40,70,41
125,magmar,30,71,50,40,70,41
137,omanyte,45,59,47,67,45,39
138,omastar,45,59,47,67,45,39
139,kabuto,45,59,47,67,45,39
140,kabutops,45,59,47,67,45,39
145,moltres,35,58,58,57,55,39
5,charizard,35,58,58,57,55,39
141,aerodactyl,53,75,23,83,30,38
49,diglett,46,78,27,38,76,37
50,dugtrio,46,78,27,38,76,37
130,lapras,31,83,37,33,81,37
86,dewgong,31,83,37,33,81,37
90,cloyster,31,83,37,33,81,37
103,cubone,46,78,27,38,76,37
79,slowbro,54,49,48,64,51,36
120,starmie,54,49,48,64,51,36
78,slowpoke,54,49,48,64,51,36
121,mr. mime,11,107,33,25,91,35
106,hitmonchan,31,60,60,24,93,34
67,machamp,31,60,60,24,93,34
65,machop,31,60,60,24,93,34
66,machoke,31,60,60,24,93,34
105,hitmonlee,31,60,60,24,93,34
56,primeape,31,60,60,24,93,34
55,mankey,31,60,60,24,93,34
126,pinsir,20,65,66,29,89,33
10,metapod,20,65,66,29,89,33
9,caterpie,20,65,66,29,89,33
41,golbat,32,74,45,67,53,31
40,zubat,32,74,45,67,53,31
35,clefable,15,88,48,22,99,30
34,clefairy,15,88,48,22,99,30
80,magnemite,28,76,47,103,20,28
81,magneton,28,76,47,103,20,28
39,wigglytuff,15,77,59,17,107,27
38,jigglypuff,15,77,59,17,107,27
143,articuno,49,53,49,38,87,26
72,tentacruel,18,65,68,82,44,25
71,tentacool,18,65,68,82,44,25
52,persian,13,106,32,21,106,24
51,meowth,13,106,32,21,106,24
18,rattata,13,106,32,21,106,24
19,raticate,13,106,32,21,106,24
32,nidorino,10,98,43,46,82,23
109,weezing,10,98,43,46,82,23
108,koffing,10,98,43,46,82,23
92,haunter,19,67,65,73,55,23
31,nidoran♂,10,98,43,46,82,23
93,gengar,19,67,65,73,55,23
29,nidorina,10,98,43,46,82,23
91,gastly,19,67,65,73,55,23
88,muk,10,98,43,46,82,23
87,grimer,10,98,43,46,82,23
23,arbok,10,98,43,46,82,23
22,ekans,10,98,43,46,82,23
28,nidoran♀,10,98,43,46,82,23
117,goldeen,27,79,45,49,81,21
116,seadra,27,79,45,49,81,21
115,horsea,27,79,45,49,81,21
128,magikarp,27,79,45,49,81,21
118,seaking,27,79,45,49,81,21
119,staryu,27,79,45,49,81,21
133,vaporeon,27,79,45,49,81,21
89,shellder,27,79,45,49,81,21
21,fearow,32,96,23,41,89,21
60,poliwhirl,27,79,45,49,81,21
16,pidgeotto,32,96,23,41,89,21
15,pidgey,32,96,23,41,89,21
8,blastoise,27,79,45,49,81,21
82,farfetch'd,32,96,23,41,89,21
83,doduo,32,96,23,41,89,21
84,dodrio,32,96,23,41,89,21
85,seel,27,79,45,49,81,21
7,wartortle,27,79,45,49,81,21
59,poliwag,27,79,45,49,81,21
54,golduck,27,79,45,49,81,21
97,krabby,27,79,45,49,81,21
53,psyduck,27,79,45,49,81,21
98,kingler,27,79,45,49,81,21
17,pidgeot,32,96,23,41,89,21
20,spearow,32,96,23,41,89,21
