,name,att_wins,att_draws,att_losses,def_wins,def_draws,def_losses
141,aerodactyl,139,177,70,186,95,105
144,zapdos,138,166,82,164,195,27
285,breloom,137,65,184,136,112,138
247,tyranitar,135,173,78,158,82,146
337,solrock,128,165,93,130,110,146
336,lunatone,128,165,93,130,110,146
45,paras,128,85,173,150,114,122
46,parasect,128,85,173,150,114,122
224,delibird,127,133,126,104,207,75
143,articuno,127,133,126,104,207,75
123,jynx,124,124,138,53,216,117
237,smoochum,124,124,138,53,216,117
214,sneasel,123,136,127,84,187,115
37,ninetales,116,157,113,83,178,125
36,vulpix,116,157,113,83,178,125
342,baltoy,115,133,138,103,149,134
343,claydol,115,133,138,103,149,134
61,poliwrath,115,87,184,148,129,109
218,magcargo,115,151,120,163,92,131
227,houndour,110,131,145,130,143,113
213,heracross,110,115,161,116,154,116
228,houndoom,110,131,145,130,143,113
137,omanyte,109,156,121,151,132,103
138,omastar,109,156,121,151,132,103
331,cacturne,109,114,163,170,93,123
212,shuckle,109,175,102,94,181,111
368,relicanth,109,156,121,151,132,103
274,shiftry,109,114,163,170,93,123
346,anorith,109,175,102,94,181,111
347,armaldo,109,175,102,94,181,111
221,corsola,109,156,121,151,132,103
140,kabutops,109,156,121,151,132,103
226,skarmory,109,155,122,258,87,41
273,nuzleaf,109,114,163,170,93,123
139,kabuto,109,156,121,151,132,103
259,swampert,108,122,156,119,226,41
258,marshtomp,108,122,156,119,226,41
193,wooper,108,122,156,119,226,41
338,barboach,108,122,156,119,226,41
339,whiscash,108,122,156,119,226,41
194,quagsire,108,122,156,119,226,41
303,aron,107,157,122,206,84,96
304,lairon,107,157,122,206,84,96
305,aggron,107,157,122,206,84,96
186,hoppip,105,145,136,142,134,110
187,skiploom,105,145,136,142,134,110
356,tropius,105,145,136,142,134,110
298,nosepass,105,227,54,127,112,147
184,sudowoodo,105,227,54,127,112,147
376,regirock,105,227,54,127,112,147
188,jumpluff,105,145,136,142,134,110
197,murkrow,104,206,76,139,182,65
110,rhyhorn,103,174,109,154,86,146
111,rhydon,103,174,109,154,86,146
245,larvitar,103,174,109,154,86,146
73,geodude,103,174,109,154,86,146
74,graveler,103,174,109,154,86,146
75,golem,103,174,109,154,86,146
345,cradily,103,175,108,74,228,84
