,name,att_wins,att_draws,att_losses,def_wins,def_draws,def_losses
482,dialga,58,263,172,373,82,38
394,empoleon,85,225,183,349,92,52
461,magnezone,99,227,167,341,73,79
80,magnemite,99,227,167,341,73,79
81,magneton,99,227,167,341,73,79
226,skarmory,141,199,153,333,109,51
486,giratina,72,295,126,328,99,66
302,mawile,108,191,194,328,122,43
378,registeel,59,286,148,312,125,56
211,scizor,108,142,243,309,150,34
204,forretress,108,142,243,309,150,34
484,heatran,127,205,161,294,89,110
375,metagross,105,188,200,289,141,63
374,metang,105,188,200,289,141,63
436,bronzong,105,188,200,289,141,63
435,bronzor,105,188,200,289,141,63
384,jirachi,105,188,200,289,141,63
373,beldum,105,188,200,289,141,63
207,steelix,91,219,183,288,83,122
447,lucario,123,93,277,284,145,64
409,shieldon,134,197,162,265,108,120
304,lairon,134,197,162,265,108,120
410,bastiodon,134,197,162,265,108,120
305,aggron,134,197,162,265,108,120
303,aron,134,197,162,265,108,120
475,probopass,134,197,162,265,108,120
424,drifloon,161,179,153,249,150,94
425,drifblim,161,179,153,249,150,94
372,salamence,130,268,95,248,180,65
383,rayquaza,130,268,95,248,180,65
333,altaria,130,268,95,248,180,65
148,dragonite,130,268,95,248,180,65
478,rotom,153,135,205,239,186,68
141,aerodactyl,176,221,96,236,119,138
380,latios,82,303,108,229,153,111
379,latias,82,303,108,229,153,111
277,wingull,123,234,136,223,230,40
225,mantine,123,234,136,223,230,40
278,pelipper,123,234,136,223,230,40
129,gyarados,123,234,136,223,230,40
457,mantyke,123,234,136,223,230,40
91,gastly,86,197,210,221,161,111
93,gengar,86,197,210,221,161,111
92,haunter,86,197,210,221,161,111
331,cacturne,136,151,206,219,127,147
273,nuzleaf,136,151,206,219,127,147
274,shiftry,136,151,206,219,127,147
318,sharpedo,124,194,175,216,147,130
317,carvanha,124,194,175,216,147,130
341,crawdaunt,124,194,175,216,147,130
144,zapdos,172,211,110,215,245,33
291,shedinja,87,189,217,214,186,93
182,marill,87,242,164,213,190,90
183,azumarill,87,242,164,213,190,90
218,magcargo,148,191,154,207,123,163
210,qwilfish,50,252,191,205,205,83
71,tentacool,50,252,191,205,205,83
72,tentacruel,50,252,191,205,205,83
250,celebi,118,152,223,204,137,152
101,exeggcute,118,152,223,204,137,152
102,exeggutor,118,152,223,204,137,152
41,golbat,118,223,152,202,185,106
40,zubat,118,223,152,202,185,106
168,crobat,118,223,152,202,185,106
247,tyranitar,166,224,103,199,103,191
198,slowking,112,192,189,198,158,137
79,slowbro,112,192,189,198,158,137
78,slowpoke,112,192,189,198,158,137
120,starmie,112,192,189,198,158,137
74,graveler,128,223,142,196,110,187
75,golem,128,223,142,196,110,187
94,onix,128,223,142,196,110,187
246,pupitar,128,223,142,196,110,187
111,rhydon,128,223,142,196,110,187
73,geodude,128,223,142,196,110,187
245,larvitar,128,223,142,196,110,187
463,rhyperior,128,223,142,196,110,187
110,rhyhorn,128,223,142,196,110,187
5,charizard,126,190,177,195,179,119
249,ho-oh,126,190,177,195,179,119
145,moltres,126,190,177,195,179,119
412,wormadam,154,120,219,194,143,156
301,sableye,68,299,126,194,288,11
441,spiritomb,68,299,126,194,288,11
46,parasect,154,120,219,194,143,156
45,paras,154,120,219,194,143,156
170,lanturn,105,246,142,194,225,74
169,chinchou,105,246,142,194,225,74
146,dratini,18,432,43,190,252,51
147,dragonair,18,432,43,190,252,51
371,shelgon,18,432,43,190,252,51
370,bagon,18,432,43,190,252,51
221,corsola,139,196,158,189,170,134
139,kabuto,139,196,158,189,170,134
477,froslass,154,140,199,189,202,102
137,omanyte,139,196,158,189,170,134
138,omastar,139,196,158,189,170,134
140,kabutops,139,196,158,189,170,134
368,relicanth,139,196,158,189,170,134
61,poliwrath,147,114,232,188,164,141
467,togekiss,127,242,124,181,212,100
175,togetic,127,242,124,181,212,100
429,honchkrow,138,255,100,180,234,79
197,murkrow,138,255,100,180,234,79
285,breloom,174,80,239,180,142,171
314,roselia,95,196,202,179,160,154
405,budew,95,196,202,179,160,154
406,roserade,95,196,202,179,160,154
1,ivysaur,95,196,202,179,160,154
0,bulbasaur,95,196,202,179,160,154
70,victreebel,95,196,202,179,160,154
2,venusaur,95,196,202,179,160,154
68,bellsprout,95,196,202,179,160,154
