,name,att_wins,att_draws,att_losses,def_wins,def_draws,def_losses
447,lucario,179,160,382,410,212,99
637,cobalion,179,160,382,410,212,99
651,chesnaught,241,114,366,267,198,256
285,breloom,241,114,366,267,198,256
639,virizion,241,114,366,267,198,256
101,exeggcute,161,208,352,280,210,231
102,exeggutor,161,208,352,280,210,231
250,celebi,161,208,352,280,210,231
707,phantump,193,178,350,365,207,149
708,trevenant,193,178,350,365,207,149
709,pumpkaboo,193,178,350,365,207,149
710,gourgeist,193,178,350,365,207,149
597,ferrothorn,129,244,348,531,108,82
596,ferroseed,129,244,348,531,108,82
204,forretress,172,203,346,447,217,57
631,durant,172,203,346,447,217,57
211,scizor,172,203,346,447,217,57
648,genesect,172,203,346,447,217,57
588,escavalier,172,203,346,447,217,57
585,sawsbuck,128,251,342,245,251,225
584,deerling,128,251,342,245,251,225
498,pignite,203,179,339,239,225,257
390,monferno,203,179,339,239,225,257
255,combusken,203,179,339,239,225,257
391,infernape,203,179,339,239,225,257
499,emboar,203,179,339,239,225,257
256,blaziken,203,179,339,239,225,257
646,keldeo,218,164,339,283,224,214
61,poliwrath,218,164,339,283,224,214
46,parasect,203,180,338,272,213,236
541,leavanny,203,180,338,272,213,236
412,wormadam,203,180,338,272,213,236
540,swadloon,203,180,338,272,213,236
539,sewaddle,203,180,338,272,213,236
45,paras,203,180,338,272,213,236
635,larvesta,192,194,335,208,306,207
636,volcarona,192,194,335,208,306,207
273,nuzleaf,182,215,324,313,177,231
274,shiftry,182,215,324,313,177,231
331,cacturne,182,215,324,313,177,231
291,shedinja,126,273,322,302,261,158
450,skorupi,135,266,320,189,307,225
679,doublade,157,244,320,479,155,87
543,whirlipede,135,266,320,189,307,225
268,dustox,135,266,320,189,307,225
14,beedrill,135,266,320,189,307,225
544,scolipede,135,266,320,189,307,225
13,kakuna,135,266,320,189,307,225
680,aegislash,157,244,320,479,155,87
542,venipede,135,266,320,189,307,225
12,weedle,135,266,320,189,307,225
48,venomoth,135,266,320,189,307,225
47,venonat,135,266,320,189,307,225
166,spinarak,135,266,320,189,307,225
167,ariados,135,266,320,189,307,225
678,honedge,157,244,320,479,155,87
606,litwick,237,165,319,356,176,189
607,lampent,237,165,319,356,176,189
608,chandelure,237,165,319,356,176,189
595,galvantula,166,242,313,185,441,95
282,surskit,121,287,313,225,363,133
594,joltik,166,242,313,185,441,95
314,roselia,129,285,307,266,222,233
1,ivysaur,129,285,307,266,222,233
70,victreebel,129,285,307,266,222,233
68,bellsprout,129,285,307,266,222,233
0,bulbasaur,129,285,307,266,222,233
590,amoonguss,129,285,307,266,222,233
44,vileplume,129,285,307,266,222,233
2,venusaur,129,285,307,266,222,233
589,foongus,129,285,307,266,222,233
42,oddish,129,285,307,266,222,233
43,gloom,129,285,307,266,222,233
69,weepinbell,129,285,307,266,222,233
406,roserade,129,285,307,266,222,233
405,budew,129,285,307,266,222,233
591,frillish,193,223,305,408,188,125
493,victini,193,223,305,233,284,204
654,delphox,193,223,305,233,284,204
592,jellicent,193,223,305,408,188,125
435,bronzor,158,259,304,423,198,100
375,metagross,158,259,304,423,198,100
384,jirachi,158,259,304,423,198,100
374,metang,158,259,304,423,198,100
373,beldum,158,259,304,423,198,100
436,bronzong,158,259,304,423,198,100
330,cacnea,149,270,302,224,291,206
251,treecko,149,270,302,224,291,206
649,chespin,149,270,302,224,291,206
272,seedot,149,270,302,224,291,206
671,skiddo,149,270,302,224,291,206
510,pansage,149,270,302,224,291,206
153,meganium,149,270,302,224,291,206
511,simisage,149,270,302,224,291,206
252,grovyle,149,270,302,224,291,206
113,tangela,149,270,302,224,291,206
469,leafeon,149,270,302,224,291,206
454,carnivine,149,270,302,224,291,206
151,chikorita,149,270,302,224,291,206
152,bayleef,149,270,302,224,291,206
386,turtwig,149,270,302,224,291,206
672,gogoat,149,270,302,224,291,206
284,shroomish,149,270,302,224,291,206
191,sunflora,149,270,302,224,291,206
495,servine,149,270,302,224,291,206
491,shaymin,149,270,302,224,291,206
650,quilladin,149,270,302,224,291,206
190,sunkern,149,270,302,224,291,206
555,maractus,149,270,302,224,291,206
181,bellossom,149,270,302,224,291,206
548,lilligant,149,270,302,224,291,206
496,serperior,149,270,302,224,291,206
464,tangrowth,149,270,302,224,291,206
419,cherubi,149,270,302,224,291,206
494,snivy,149,270,302,224,291,206
420,cherrim,149,270,302,224,291,206
547,petilil,149,270,302,224,291,206
387,grotle,149,270,302,224,291,206
253,sceptile,149,270,302,224,291,206
91,gastly,137,285,299,321,234,166
92,haunter,137,285,299,321,234,166
93,gengar,137,285,299,321,234,166
452,croagunk,166,257,298,245,308,168
453,toxicroak,166,257,298,245,308,168
478,rotom,209,214,298,337,285,99
213,heracross,214,210,297,230,280,211
546,whimsicott,207,224,290,301,222,198
545,cottonee,207,224,290,301,222,198
120,starmie,163,269,289,281,236,204
198,slowking,163,269,289,281,236,204
79,slowbro,163,269,289,281,236,204
78,slowpoke,163,269,289,281,236,204
339,whiscash,204,231,286,225,412,84
338,barboach,204,231,286,225,412,84
259,swampert,204,231,286,225,412,84
258,marshtomp,204,231,286,225,412,84
193,wooper,204,231,286,225,412,84
194,quagsire,204,231,286,225,412,84
536,seismitoad,204,231,286,225,412,84
535,palpitoad,204,231,286,225,412,84
422,gastrodon,204,231,286,225,412,84
477,froslass,223,215,283,262,288,171
266,beautifly,179,265,277,217,295,209
11,butterfree,179,265,277,217,295,209
665,vivillon,179,265,277,217,295,209
270,lombre,95,349,277,195,363,163
165,ledian,179,265,277,217,295,209
164,ledyba,179,265,277,217,295,209
283,masquerain,179,265,277,217,295,209
468,yanmega,179,265,277,217,295,209
269,lotad,95,349,277,195,363,163
122,scyther,179,265,277,217,295,209
192,yanma,179,265,277,217,295,209
271,ludicolo,95,349,277,195,363,163
413,mothim,179,265,277,217,295,209
290,ninjask,179,265,277,217,295,209
415,vespiquen,179,265,277,217,295,209
414,combee,179,265,277,217,295,209
399,bibarel,88,357,276,246,335,140
227,houndour,223,224,274,268,255,198
228,houndoom,223,224,274,268,255,198
694,heliolisk,150,298,273,186,442,93
693,helioptile,150,298,273,186,442,93
343,claydol,201,248,272,189,263,269
342,baltoy,201,248,272,189,263,269
302,mawile,181,269,271,487,170,64
706,klefki,181,269,271,487,170,64
123,jynx,233,218,270,89,384,248
237,smoochum,233,218,270,89,384,248
394,empoleon,124,327,270,501,141,79
307,medicham,169,284,268,92,479,150
306,meditite,169,284,268,92,479,150
474,gallade,169,284,268,92,479,150
210,qwilfish,82,373,266,311,286,124
689,skrelp,82,373,266,311,286,124
71,tentacool,82,373,266,311,286,124
72,tentacruel,82,373,266,311,286,124
617,stunfisk,209,246,266,204,311,206
667,pyroar,149,307,265,236,295,190
318,sharpedo,181,275,265,315,207,199
317,carvanha,181,275,265,315,207,199
207,steelix,130,326,265,418,130,173
529,excadrill,130,326,265,418,130,173
657,greninja,181,275,265,315,207,199
341,crawdaunt,181,275,265,315,207,199
666,litleo,149,307,265,236,295,190
80,magnemite,149,308,264,499,106,116
461,magnezone,149,308,264,499,106,116
701,dedenne,213,244,264,262,377,82
624,bisharp,136,321,264,457,172,92
623,pawniard,136,321,264,457,172,92
81,magneton,149,308,264,499,106,116
622,golurk,238,222,261,315,178,228
621,golett,238,222,261,315,178,228
356,tropius,166,294,261,248,269,204
188,jumpluff,166,294,261,248,269,204
186,hoppip,166,294,261,248,269,204
187,skiploom,166,294,261,248,269,204
662,talonflame,192,271,258,295,262,164
661,fletchinder,192,271,258,295,262,164
145,moltres,192,271,258,295,262,164
5,charizard,192,271,258,295,262,164
249,ho-oh,192,271,258,295,262,164
482,dialga,93,371,257,525,138,58
10,metapod,129,336,256,155,402,164
587,karrablast,129,336,256,155,402,164
264,wurmple,129,336,256,155,402,164
411,burmy,129,336,256,155,402,164
265,silcoon,129,336,256,155,402,164
9,caterpie,129,336,256,155,402,164
203,pineco,129,336,256,155,402,164
401,kricketune,129,336,256,155,402,164
400,kricketot,129,336,256,155,402,164
312,volbeat,129,336,256,155,402,164
663,scatterbug,129,336,256,155,402,164
616,accelgor,129,336,256,155,402,164
664,spewpa,129,336,256,155,402,164
615,shelmet,129,336,256,155,402,164
313,illumise,129,336,256,155,402,164
267,cascoon,129,336,256,155,402,164
126,pinsir,129,336,256,155,402,164
674,pangoro,168,306,247,196,387,138
559,scrafty,168,306,247,196,387,138
558,scraggy,168,306,247,196,387,138
33,nidoking,105,369,247,194,310,217
30,nidoqueen,105,369,247,194,310,217
673,pancham,186,293,242,136,426,159
66,machoke,186,293,242,136,426,159
105,hitmonlee,186,293,242,136,426,159
106,hitmonchan,186,293,242,136,426,159
446,riolu,186,293,242,136,426,159
236,hitmontop,186,293,242,136,426,159
235,tyrogue,186,293,242,136,426,159
65,machop,186,293,242,136,426,159
532,gurdurr,186,293,242,136,426,159
531,timburr,186,293,242,136,426,159
55,mankey,186,293,242,136,426,159
67,machamp,186,293,242,136,426,159
56,primeape,186,293,242,136,426,159
296,hariyama,186,293,242,136,426,159
619,mienshao,186,293,242,136,426,159
538,sawk,186,293,242,136,426,159
295,makuhita,186,293,242,136,426,159
537,throh,186,293,242,136,426,159
533,conkeldurr,186,293,242,136,426,159
618,mienfoo,186,293,242,136,426,159
451,drapion,115,367,239,238,387,96
460,weavile,235,247,239,165,326,230
214,sneasel,235,247,239,165,326,230
433,stunky,115,367,239,238,387,96
434,skuntank,115,367,239,238,387,96
137,omanyte,208,275,238,262,262,197
138,omastar,208,275,238,262,262,197
139,kabuto,208,275,238,262,262,197
368,relicanth,208,275,238,262,262,197
687,binacle,208,275,238,262,262,197
688,barbaracle,208,275,238,262,262,197
564,carracosta,208,275,238,262,262,197
563,tirtouga,208,275,238,262,262,197
221,corsola,208,275,238,262,262,197
140,kabutops,208,275,238,262,262,197
638,terrakion,229,255,237,242,185,294
484,heatran,193,292,236,446,118,157
550,sandile,220,265,236,224,237,260
551,krokorok,220,265,236,224,237,260
552,krookodile,220,265,236,224,237,260
483,palkia,125,362,234,210,446,65
229,kingdra,125,362,234,210,446,65
643,zekrom,171,316,234,351,263,107
700,hawlucha,210,277,234,257,257,207
224,delibird,251,237,233,184,379,158
143,articuno,251,237,233,184,379,158
645,kyurem,206,283,232,208,347,166
388,torterra,204,286,231,124,392,205
303,aron,198,293,230,393,163,165
475,probopass,198,293,230,393,163,165
409,shieldon,198,293,230,393,163,165
410,bastiodon,198,293,230,393,163,165
304,lairon,198,293,230,393,163,165
305,aggron,198,293,230,393,163,165
472,mamoswine,159,335,227,81,342,298
27,sandslash,159,335,227,81,342,298
219,swinub,159,335,227,81,342,298
26,sandshrew,159,335,227,81,342,298
220,piloswine,159,335,227,81,342,298
226,skarmory,214,281,226,478,173,70
642,reshiram,154,341,226,249,333,139
182,marill,137,359,225,327,267,127
183,azumarill,137,359,225,327,267,127
289,nincada,171,326,224,164,319,238
647,meloetta,86,411,224,106,506,109
202,girafarig,86,411,224,106,506,109
424,drifloon,236,261,224,348,220,153
425,drifblim,236,261,224,348,220,153
690,dragalge,86,412,223,330,243,148
218,magcargo,221,277,223,293,207,221
345,cradily,166,333,222,132,414,175
344,lileep,166,333,222,132,414,175
378,registeel,93,408,220,461,169,91
168,crobat,177,324,220,289,273,159
177,xatu,185,316,220,232,323,166
526,woobat,185,316,220,232,323,166
176,natu,185,316,220,232,323,166
527,swoobat,185,316,220,232,323,166
40,zubat,177,324,220,289,273,159
41,golbat,177,324,220,289,273,159
598,klink,93,408,220,461,169,91
248,lugia,185,316,220,232,323,166
599,klang,93,408,220,461,169,91
600,klinklang,93,408,220,461,169,91
560,sigilyph,185,316,220,232,323,166
111,rhydon,191,311,219,275,166,280
110,rhyhorn,191,311,219,275,166,280
463,rhyperior,191,311,219,275,166,280
73,geodude,191,311,219,275,166,280
94,onix,191,311,219,275,166,280
74,graveler,191,311,219,275,166,280
245,larvitar,191,311,219,275,166,280
246,pupitar,191,311,219,275,166,280
75,golem,191,311,219,275,166,280
4,charmeleon,180,323,218,225,331,165
653,braixen,180,323,218,225,331,165
3,charmander,180,323,218,225,331,165
466,magmortar,180,323,218,225,331,165
652,fennekin,180,323,218,225,331,165
155,quilava,180,323,218,225,331,165
513,simisear,180,323,218,225,331,165
135,flareon,180,323,218,225,331,165
125,magmar,180,323,218,225,331,165
254,torchic,180,323,218,225,331,165
512,pansear,180,323,218,225,331,165
57,growlithe,180,323,218,225,331,165
58,arcanine,180,323,218,225,331,165
389,chimchar,180,323,218,225,331,165
497,tepig,180,323,218,225,331,165
77,rapidash,180,323,218,225,331,165
76,ponyta,180,323,218,225,331,165
154,cyndaquil,180,323,218,225,331,165
459,abomasnow,87,416,218,203,257,261
156,typhlosion,180,323,218,225,331,165
323,torkoal,180,323,218,225,331,165
243,entei,180,323,218,225,331,165
239,magby,180,323,218,225,331,165
458,snover,87,416,218,203,257,261
217,slugma,180,323,218,225,331,165
554,darmanitan,180,323,218,225,331,165
630,heatmor,180,323,218,225,331,165
553,darumaka,180,323,218,225,331,165
18,rattata,55,450,216,149,437,135
51,meowth,55,450,216,149,437,135
19,raticate,55,450,216,149,437,135
52,persian,55,450,216,149,437,135
659,diggersby,110,396,215,152,346,223
321,numel,152,355,214,225,338,158
104,marowak,152,355,214,225,338,158
322,camerupt,152,355,214,225,338,158
170,lanturn,160,349,212,288,323,110
169,chinchou,160,349,212,288,323,110
173,igglybuff,97,413,211,158,493,70
39,wigglytuff,97,413,211,158,493,70
297,azurill,97,413,211,158,493,70
38,jigglypuff,97,413,211,158,493,70
329,flygon,185,325,211,202,418,101
442,gible,185,325,211,202,418,101
443,gabite,185,325,211,202,418,101
444,garchomp,185,325,211,202,418,101
328,vibrava,185,325,211,202,418,101
717,zygarde,185,325,211,202,418,101
488,phione,127,391,203,230,377,114
489,manaphy,127,391,203,230,377,114
59,poliwag,127,391,203,230,377,114
60,poliwhirl,127,391,203,230,377,114
691,clauncher,127,391,203,230,377,114
349,milotic,127,391,203,230,377,114
222,remoraid,127,391,203,230,377,114
54,golduck,127,391,203,230,377,114
53,psyduck,127,391,203,230,377,114
348,feebas,127,391,203,230,377,114
593,alomomola,127,391,203,230,377,114
417,buizel,127,391,203,230,377,114
418,floatzel,127,391,203,230,377,114
692,clawitzer,127,391,203,230,377,114
223,octillery,127,391,203,230,377,114
421,shellos,127,391,203,230,377,114
85,seel,127,391,203,230,377,114
158,croconaw,127,391,203,230,377,114
8,blastoise,127,391,203,230,377,114
7,wartortle,127,391,203,230,377,114
6,squirtle,127,391,203,230,377,114
157,totodile,127,391,203,230,377,114
244,suicune,127,391,203,230,377,114
455,finneon,127,391,203,230,377,114
456,lumineon,127,391,203,230,377,114
340,corphish,127,391,203,230,377,114
159,feraligatr,127,391,203,230,377,114
369,luvdisc,127,391,203,230,377,114
502,samurott,127,391,203,230,377,114
320,wailord,127,391,203,230,377,114
115,horsea,127,391,203,230,377,114
116,seadra,127,391,203,230,377,114
514,panpour,127,391,203,230,377,114
515,simipour,127,391,203,230,377,114
117,goldeen,127,391,203,230,377,114
367,gorebyss,127,391,203,230,377,114
366,huntail,127,391,203,230,377,114
365,clamperl,127,391,203,230,377,114
118,seaking,127,391,203,230,377,114
119,staryu,127,391,203,230,377,114
549,basculin,127,391,203,230,377,114
128,magikarp,127,391,203,230,377,114
534,tympole,127,391,203,230,377,114
656,frogadier,127,391,203,230,377,114
655,froakie,127,391,203,230,377,114
133,vaporeon,127,391,203,230,377,114
319,wailmer,127,391,203,230,377,114
257,mudkip,127,391,203,230,377,114
392,piplup,127,391,203,230,377,114
97,krabby,127,391,203,230,377,114
381,kyogre,127,391,203,230,377,114
501,dewott,127,391,203,230,377,114
500,oshawott,127,391,203,230,377,114
393,prinplup,127,391,203,230,377,114
98,kingler,127,391,203,230,377,114
89,shellder,127,391,203,230,377,114
185,politoed,127,391,203,230,377,114
301,sableye,102,418,201,267,428,26
441,spiritomb,102,418,201,267,428,26
22,ekans,90,431,200,187,416,118
109,weezing,90,431,200,187,416,118
315,gulpin,90,431,200,187,416,118
28,nidoran♀,90,431,200,187,416,118
88,muk,90,431,200,187,416,118
316,swalot,90,431,200,187,416,118
23,arbok,90,431,200,187,416,118
29,nidorina,90,431,200,187,416,118
568,garbodor,90,431,200,187,416,118
335,seviper,90,431,200,187,416,118
108,koffing,90,431,200,187,416,118
567,trubbish,90,431,200,187,416,118
32,nidorino,90,431,200,187,416,118
87,grimer,90,431,200,187,416,118
31,nidoran♂,90,431,200,187,416,118
556,dwebble,207,315,199,151,378,192
346,anorith,207,315,199,151,378,192
212,shuckle,207,315,199,151,378,192
557,crustle,207,315,199,151,378,192
347,armaldo,207,315,199,151,378,192
711,bergmite,206,319,196,33,512,176
712,avalugg,206,319,196,33,512,176
582,vanillish,206,319,196,33,512,176
580,swanna,181,344,196,319,338,64
470,glaceon,206,319,196,33,512,176
583,vanilluxe,206,319,196,33,512,176
613,beartic,206,319,196,33,512,176
612,cubchoo,206,319,196,33,512,176
581,vanillite,206,319,196,33,512,176
579,ducklett,181,344,196,319,338,64
614,cryogonal,206,319,196,33,512,176
360,snorunt,206,319,196,33,512,176
457,mantyke,181,344,196,319,338,64
225,mantine,181,344,196,319,338,64
277,wingull,181,344,196,319,338,64
278,pelipper,181,344,196,319,338,64
129,gyarados,181,344,196,319,338,64
361,glalie,206,319,196,33,512,176
37,ninetales,225,300,196,160,338,223
36,vulpix,225,300,196,160,338,223
377,regice,206,319,196,33,512,176
521,blitzle,169,357,195,160,507,54
522,zebstrika,169,357,195,160,507,54
311,minun,169,357,195,160,507,54
310,plusle,169,357,195,160,507,54
309,manectric,169,357,195,160,507,54
308,electrike,169,357,195,160,507,54
402,shinx,169,357,195,160,507,54
238,elekid,169,357,195,160,507,54
602,eelektrik,169,357,195,160,507,54
601,tynamo,169,357,195,160,507,54
404,luxray,169,357,195,160,507,54
603,eelektross,169,357,195,160,507,54
180,ampharos,169,357,195,160,507,54
179,flaaffy,169,357,195,160,507,54
178,mareep,169,357,195,160,507,54
171,pichu,169,357,195,160,507,54
134,jolteon,169,357,195,160,507,54
124,electabuzz,169,357,195,160,507,54
100,electrode,169,357,195,160,507,54
99,voltorb,169,357,195,160,507,54
25,raichu,169,357,195,160,507,54
24,pikachu,169,357,195,160,507,54
403,luxio,169,357,195,160,507,54
242,raikou,169,357,195,160,507,54
465,electivire,169,357,195,160,507,54
416,pachirisu,169,357,195,160,507,54
486,giratina,119,410,192,453,142,126
121,mr. mime,70,460,191,144,462,115
280,kirlia,70,460,191,144,462,115
279,ralts,70,460,191,144,462,115
281,gardevoir,70,460,191,144,462,115
438,mime jr.,70,460,191,144,462,115
467,togekiss,201,336,184,282,298,141
175,togetic,201,336,184,282,298,141
337,solrock,227,312,182,223,214,284
336,lunatone,227,312,182,223,214,284
698,aurorus,230,312,179,195,233,293
697,amaura,230,312,179,195,233,293
379,latias,121,424,176,325,213,183
380,latios,121,424,176,325,213,183
719,hoopa,120,426,175,258,389,74
449,hippowdon,184,364,173,124,403,194
230,phanpy,184,364,173,124,403,194
